,company,name,ticker,date,brand,sales,transactions
4408379,Lyft,Lyft,LYFT,2015-01-05,Lyft Rides,16935,1284.0
4412085,Lyft,Lyft,LYFT,2015-01-05,Motivate,0,0.0
4410233,Lyft,Lyft,LYFT,2015-01-06,Lyft Scooters,0,0.0
4408380,Lyft,Lyft,LYFT,2015-01-06,Lyft Rides,16083,1253.0
4412086,Lyft,Lyft,LYFT,2015-01-06,Motivate,0,0.0
4410234,Lyft,Lyft,LYFT,2015-01-07,Lyft Scooters,0,0.0
4408381,Lyft,Lyft,LYFT,2015-01-07,Lyft Rides,18492,1501.0
4412087,Lyft,Lyft,LYFT,2015-01-07,Motivate,0,0.0
4410235,Lyft,Lyft,LYFT,2015-01-08,Lyft Scooters,0,0.0
4412088,Lyft,Lyft,LYFT,2015-01-08,Motivate,0,0.0
4408382,Lyft,Lyft,LYFT,2015-01-08,Lyft Rides,20544,1669.0
4412089,Lyft,Lyft,LYFT,2015-01-09,Motivate,0,0.0
4410236,Lyft,Lyft,LYFT,2015-01-09,Lyft Scooters,0,0.0
4408383,Lyft,Lyft,LYFT,2015-01-09,Lyft Rides,26188,2209.0
4412090,Lyft,Lyft,LYFT,2015-01-10,Motivate,0,0.0
4410237,Lyft,Lyft,LYFT,2015-01-10,Lyft Scooters,0,0.0
4408384,Lyft,Lyft,LYFT,2015-01-10,Lyft Rides,36671,2984.0
4412091,Lyft,Lyft,LYFT,2015-01-11,Motivate,0,0.0
4410238,Lyft,Lyft,LYFT,2015-01-11,Lyft Scooters,0,0.0
4408385,Lyft,Lyft,LYFT,2015-01-11,Lyft Rides,30146,2462.0
4410239,Lyft,Lyft,LYFT,2015-01-12,Lyft Scooters,0,0.0
4408386,Lyft,Lyft,LYFT,2015-01-12,Lyft Rides,21643,1753.0
4412092,Lyft,Lyft,LYFT,2015-01-12,Motivate,0,0.0
4408387,Lyft,Lyft,LYFT,2015-01-13,Lyft Rides,16031,1286.0
4412093,Lyft,Lyft,LYFT,2015-01-13,Motivate,0,0.0
4410240,Lyft,Lyft,LYFT,2015-01-13,Lyft Scooters,0,0.0
4408388,Lyft,Lyft,LYFT,2015-01-14,Lyft Rides,21007,1710.0
4412094,Lyft,Lyft,LYFT,2015-01-14,Motivate,0,0.0
4410241,Lyft,Lyft,LYFT,2015-01-14,Lyft Scooters,0,0.0
4412095,Lyft,Lyft,LYFT,2015-01-15,Motivate,0,0.0
4410242,Lyft,Lyft,LYFT,2015-01-15,Lyft Scooters,0,0.0
4408389,Lyft,Lyft,LYFT,2015-01-15,Lyft Rides,22628,1891.0
4410243,Lyft,Lyft,LYFT,2015-01-16,Lyft Scooters,0,0.0
4408390,Lyft,Lyft,LYFT,2015-01-16,Lyft Rides,28474,2261.0
4412096,Lyft,Lyft,LYFT,2015-01-16,Motivate,0,0.0
4410244,Lyft,Lyft,LYFT,2015-01-17,Lyft Scooters,0,0.0
4408391,Lyft,Lyft,LYFT,2015-01-17,Lyft Rides,41274,3166.0
4412097,Lyft,Lyft,LYFT,2015-01-17,Motivate,0,0.0
4410245,Lyft,Lyft,LYFT,2015-01-18,Lyft Scooters,0,0.0
4408392,Lyft,Lyft,LYFT,2015-01-18,Lyft Rides,32737,2590.0
4412098,Lyft,Lyft,LYFT,2015-01-18,Motivate,0,0.0
4408393,Lyft,Lyft,LYFT,2015-01-19,Lyft Rides,21160,1694.0
4412099,Lyft,Lyft,LYFT,2015-01-19,Motivate,0,0.0
4410246,Lyft,Lyft,LYFT,2015-01-19,Lyft Scooters,0,0.0
4412100,Lyft,Lyft,LYFT,2015-01-20,Motivate,0,0.0
4410247,Lyft,Lyft,LYFT,2015-01-20,Lyft Scooters,0,0.0
4408394,Lyft,Lyft,LYFT,2015-01-20,Lyft Rides,18618,1512.0
4412101,Lyft,Lyft,LYFT,2015-01-21,Motivate,0,0.0
4410248,Lyft,Lyft,LYFT,2015-01-21,Lyft Scooters,0,0.0
4408395,Lyft,Lyft,LYFT,2015-01-21,Lyft Rides,19592,1651.0
4412102,Lyft,Lyft,LYFT,2015-01-22,Motivate,0,0.0
4408396,Lyft,Lyft,LYFT,2015-01-22,Lyft Rides,23042,1961.0
4410249,Lyft,Lyft,LYFT,2015-01-22,Lyft Scooters,0,0.0
4408397,Lyft,Lyft,LYFT,2015-01-23,Lyft Rides,28317,2480.0
4412103,Lyft,Lyft,LYFT,2015-01-23,Motivate,0,0.0
4410250,Lyft,Lyft,LYFT,2015-01-23,Lyft Scooters,0,0.0
4408398,Lyft,Lyft,LYFT,2015-01-24,Lyft Rides,38058,3401.0
4412104,Lyft,Lyft,LYFT,2015-01-24,Motivate,0,0.0
4410251,Lyft,Lyft,LYFT,2015-01-24,Lyft Scooters,0,0.0
4408399,Lyft,Lyft,LYFT,2015-01-25,Lyft Rides,31180,2822.0
4412105,Lyft,Lyft,LYFT,2015-01-25,Motivate,0,0.0
4410252,Lyft,Lyft,LYFT,2015-01-25,Lyft Scooters,0,0.0
4412106,Lyft,Lyft,LYFT,2015-01-26,Motivate,0,0.0
4410253,Lyft,Lyft,LYFT,2015-01-26,Lyft Scooters,0,0.0
4408400,Lyft,Lyft,LYFT,2015-01-26,Lyft Rides,20805,1873.0
4410254,Lyft,Lyft,LYFT,2015-01-27,Lyft Scooters,0,0.0
4408401,Lyft,Lyft,LYFT,2015-01-27,Lyft Rides,18007,1789.0
4412107,Lyft,Lyft,LYFT,2015-01-27,Motivate,0,0.0
4410255,Lyft,Lyft,LYFT,2015-01-28,Lyft Scooters,0,0.0
